

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Quantity,Currency,Price,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
12/27/2024,"BILL PAYMENT CAPITAL ONE AUTO FINANC (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-775,4389.23,
12/26/2024,"BILL PAYMENT VERIZON WIRELESS (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-447.54,4895.79,
12/24/2024,"BILL PAYMENT VERIZON WIRELESS (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-163,5460.43,
12/20/2024,"BILL PAYMENT PWC SERVICE AUTHORITY (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-111.85,6326.66,
12/13/2024,"BILL PAYMENT WELLS FARGO AUTO (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-933,3536.26,
12/06/2024,"BILL PAYMENT NOVEC (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-96.43,4776.06,
12/06/2024,"BILL PAYMENT NOVEC (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-162.51,4872.49,
12/05/2024,"BILL PAYMENT PRINCE WILLIAM COUNTY T (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-1283.6,5824.19,
12/05/2024,"BILL PAYMENT SELECT PORTFOLIO SERVIC (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-1550,7107.79,
11/29/2024,"BILL PAYMENT CAPITAL ONE AUTO FINANC (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-705,6628.80,
11/26/2024,"BILL PAYMENT VERIZON WIRELESS (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-420.67,7444.05,
11/25/2024,"BILL PAYMENT VERIZON WIRELESS (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-20,7911.38,
11/21/2024,"BILL PAYMENT PWC SERVICE AUTHORITY (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,-133.45,8452.46,
