

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Quantity,Currency,Price,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
07/31/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4317.79,Processing,
07/17/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,7547.79,8537.64,
07/02/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4317.23,7050.66,
06/18/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,6390.04,
06/05/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,6748.25,
05/22/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,6572.02,
05/08/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,4795.20,
04/24/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,6013.73,
04/10/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,4704.79,
03/27/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.25,5978.46,
03/13/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.23,4958.96,
02/27/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,5936.86,
02/13/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,5210.01,
01/30/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4320.24,5678.58,
01/16/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4209.03,5174.76,
01/02/2025,"DIRECT DEPOSIT COM2 TREAS 3 FED SAL (Cash)", ,"No Description",Cash,0,,0.000,USD,,0,,,,4209.03,7211.55,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 07/31/2025 7:16 pm
